date,price,currency,airline,stops,duration_min,departure,arrival,origin,destination,scraped_at,source,date_str,day_of_week,days_until_dep,is_direct,duration_h,month,week
2026-03-13,124.0,EUR,Royal Air Maroc,1,885,2026-03-13 22:20:00,2026-03-14 14:05:00,CMN,MAD,2026-03-13 16:17:40.232595,unified-search,260313,Friday,0,0,14.75,3,11
2026-03-13,103.0,EUR,Royal Air Maroc,1,1235,2026-03-13 21:55:00,2026-03-14 19:30:00,CMN,MAD,2026-03-13 16:17:40.232595,unified-search,260313,Friday,0,0,20.58,3,11
2026-03-13,185.0,EUR,Royal Air Maroc,2,680,2026-03-13 22:00:00,2026-03-14 10:20:00,CMN,MAD,2026-03-13 16:17:40.232595,unified-search,260313,Friday,0,0,11.33,3,11
2026-03-13,193.0,EUR,Royal Air Maroc,2,680,2026-03-13 22:00:00,2026-03-14 10:20:00,CMN,MAD,2026-03-13 16:17:40.232595,unified-search,260313,Friday,0,0,11.33,3,11
2026-03-13,158.0,EUR,Royal Air Maroc,1,970,2026-03-13 22:00:00,2026-03-14 15:10:00,CMN,MAD,2026-03-13 16:17:40.232595,unified-search,260313,Friday,0,0,16.17,3,11
2026-03-13,158.0,EUR,Royal Air Maroc,1,1040,2026-03-13 20:50:00,2026-03-14 15:10:00,CMN,MAD,2026-03-13 16:17:40.232595,unified-search,260313,Friday,0,0,17.33,3,11
2026-03-13,393.99,EUR,Air France,1,815,2026-03-13 18:35:00,2026-03-14 09:10:00,CMN,MAD,2026-03-13 16:17:40.232595,unified-search,260313,Friday,0,0,13.58,3,11
2026-03-13,289.99,EUR,Air France,1,1650,2026-03-13 18:35:00,2026-03-14 23:05:00,CMN,MAD,2026-03-13 16:17:40.232595,unified-search,260313,Friday,0,0,27.5,3,11
2026-03-13,442.99,EUR,KLM,2,1230,2026-03-13 18:35:00,2026-03-14 16:05:00,CMN,MAD,2026-03-13 16:17:40.232595,unified-search,260313,Friday,0,0,20.5,3,11
2026-03-13,290.99,EUR,KLM,2,2320,2026-03-13 18:35:00,2026-03-15 10:15:00,CMN,MAD,2026-03-13 16:17:40.232595,unified-search,260313,Friday,0,0,38.67,3,11
2026-03-14,151.97,EUR,Iberia,0,105,2026-03-14 12:45:00,2026-03-14 15:30:00,CMN,MAD,2026-03-13 16:17:50.552742,unified-search,260314,Saturday,1,1,1.75,3,11
2026-03-14,146.99,EUR,Royal Air Maroc,0,105,2026-03-14 09:15:00,2026-03-14 12:00:00,CMN,MAD,2026-03-13 16:17:50.552742,unified-search,260314,Saturday,1,1,1.75,3,11
2026-03-14,143.0,EUR,Iberia,0,105,2026-03-14 09:15:00,2026-03-14 12:00:00,CMN,MAD,2026-03-13 16:17:50.552742,unified-search,260314,Saturday,1,1,1.75,3,11
2026-03-14,217.93,EUR,Royal Air Maroc,0,105,2026-03-14 15:20:00,2026-03-14 18:05:00,CMN,MAD,2026-03-13 16:17:50.552742,unified-search,260314,Saturday,1,1,1.75,3,11
2026-03-14,190.27,EUR,Iberia,0,105,2026-03-14 15:20:00,2026-03-14 18:05:00,CMN,MAD,2026-03-13 16:17:50.552742,unified-search,260314,Saturday,1,1,1.75,3,11
2026-03-14,185.0,EUR,Vueling Airlines,0,105,2026-03-14 12:45:00,2026-03-14 15:30:00,CMN,MAD,2026-03-13 16:17:50.552742,unified-search,260314,Saturday,1,1,1.75,3,11
2026-03-14,330.99,EUR,Royal Air Maroc,0,105,2026-03-14 12:45:00,2026-03-14 15:30:00,CMN,MAD,2026-03-13 16:17:50.552742,unified-search,260314,Saturday,1,1,1.75,3,11
2026-03-14,107.0,EUR,TAP Air Portugal,1,400,2026-03-14 15:50:00,2026-03-14 23:30:00,CMN,MAD,2026-03-13 16:17:50.552742,unified-search,260314,Saturday,1,0,6.67,3,11
2026-03-14,107.0,EUR,TAP Air Portugal,1,480,2026-03-14 11:20:00,2026-03-14 20:20:00,CMN,MAD,2026-03-13 16:17:50.552742,unified-search,260314,Saturday,1,0,8.0,3,11
2026-03-14,103.0,EUR,Royal Air Maroc,1,510,2026-03-14 10:00:00,2026-03-14 19:30:00,CMN,MAD,2026-03-13 16:17:50.552742,unified-search,260314,Saturday,1,0,8.5,3,11
2026-03-15,168.11,EUR,Iberia,0,105,2026-03-15 17:55:00,2026-03-15 20:40:00,CMN,MAD,2026-03-13 16:18:00.936272,unified-search,260315,Sunday,2,1,1.75,3,11
2026-03-15,200.0,EUR,Royal Air Maroc,0,105,2026-03-15 09:15:00,2026-03-15 12:00:00,CMN,MAD,2026-03-13 16:18:00.936272,unified-search,260315,Sunday,2,1,1.75,3,11
