date,price,currency,airline,stops,duration_min,departure,arrival,origin,destination,scraped_at,source
260313,124.0,EUR,Royal Air Maroc,1,885,2026-03-13T22:20:00,2026-03-14T14:05:00,CMN,MAD,2026-03-13T16:17:40.232595,unified-search
260313,103.0,EUR,Royal Air Maroc,1,1235,2026-03-13T21:55:00,2026-03-14T19:30:00,CMN,MAD,2026-03-13T16:17:40.232595,unified-search
260313,185.0,EUR,Royal Air Maroc,2,680,2026-03-13T22:00:00,2026-03-14T10:20:00,CMN,MAD,2026-03-13T16:17:40.232595,unified-search
260313,193.0,EUR,Royal Air Maroc,2,680,2026-03-13T22:00:00,2026-03-14T10:20:00,CMN,MAD,2026-03-13T16:17:40.232595,unified-search
260313,158.0,EUR,Royal Air Maroc,1,970,2026-03-13T22:00:00,2026-03-14T15:10:00,CMN,MAD,2026-03-13T16:17:40.232595,unified-search
260313,158.0,EUR,Royal Air Maroc,1,1040,2026-03-13T20:50:00,2026-03-14T15:10:00,CMN,MAD,2026-03-13T16:17:40.232595,unified-search
260313,393.99,EUR,Air France,1,815,2026-03-13T18:35:00,2026-03-14T09:10:00,CMN,MAD,2026-03-13T16:17:40.232595,unified-search
260313,289.99,EUR,Air France,1,1650,2026-03-13T18:35:00,2026-03-14T23:05:00,CMN,MAD,2026-03-13T16:17:40.232595,unified-search
260313,442.99,EUR,KLM,2,1230,2026-03-13T18:35:00,2026-03-14T16:05:00,CMN,MAD,2026-03-13T16:17:40.232595,unified-search
260313,290.99,EUR,KLM,2,2320,2026-03-13T18:35:00,2026-03-15T10:15:00,CMN,MAD,2026-03-13T16:17:40.232595,unified-search
260314,151.97,EUR,Iberia,0,105,2026-03-14T12:45:00,2026-03-14T15:30:00,CMN,MAD,2026-03-13T16:17:50.552742,unified-search
260314,146.99,EUR,Royal Air Maroc,0,105,2026-03-14T09:15:00,2026-03-14T12:00:00,CMN,MAD,2026-03-13T16:17:50.552742,unified-search
260314,143.0,EUR,Iberia,0,105,2026-03-14T09:15:00,2026-03-14T12:00:00,CMN,MAD,2026-03-13T16:17:50.552742,unified-search
260314,217.93,EUR,Royal Air Maroc,0,105,2026-03-14T15:20:00,2026-03-14T18:05:00,CMN,MAD,2026-03-13T16:17:50.552742,unified-search
260314,190.27,EUR,Iberia,0,105,2026-03-14T15:20:00,2026-03-14T18:05:00,CMN,MAD,2026-03-13T16:17:50.552742,unified-search
260314,185.0,EUR,Vueling Airlines,0,105,2026-03-14T12:45:00,2026-03-14T15:30:00,CMN,MAD,2026-03-13T16:17:50.552742,unified-search
260314,330.99,EUR,Royal Air Maroc,0,105,2026-03-14T12:45:00,2026-03-14T15:30:00,CMN,MAD,2026-03-13T16:17:50.552742,unified-search
260314,107.0,EUR,TAP Air Portugal,1,400,2026-03-14T15:50:00,2026-03-14T23:30:00,CMN,MAD,2026-03-13T16:17:50.552742,unified-search
260314,107.0,EUR,TAP Air Portugal,1,480,2026-03-14T11:20:00,2026-03-14T20:20:00,CMN,MAD,2026-03-13T16:17:50.552742,unified-search
260314,103.0,EUR,Royal Air Maroc,1,510,2026-03-14T10:00:00,2026-03-14T19:30:00,CMN,MAD,2026-03-13T16:17:50.552742,unified-search
260315,168.11,EUR,Iberia,0,105,2026-03-15T17:55:00,2026-03-15T20:40:00,CMN,MAD,2026-03-13T16:18:00.936272,unified-search
260315,200.0,EUR,Royal Air Maroc,0,105,2026-03-15T09:15:00,2026-03-15T12:00:00,CMN,MAD,2026-03-13T16:18:00.936272,unified-search
260315,188.0,EUR,Iberia,0,105,2026-03-15T09:15:00,2026-03-15T12:00:00,CMN,MAD,2026-03-13T16:18:00.936272,unified-search
260315,185.0,EUR,Vueling Airlines,0,105,2026-03-15T17:55:00,2026-03-15T20:40:00,CMN,MAD,2026-03-13T16:18:00.936272,unified-search
260315,300.0,EUR,Royal Air Maroc,0,105,2026-03-15T15:20:00,2026-03-15T18:05:00,CMN,MAD,2026-03-13T16:18:00.936272,unified-search
260315,293.14,EUR,Iberia,0,105,2026-03-15T12:45:00,2026-03-15T15:30:00,CMN,MAD,2026-03-13T16:18:00.936272,unified-search
260315,310.35,EUR,Royal Air Maroc,0,105,2026-03-15T17:55:00,2026-03-15T20:40:00,CMN,MAD,2026-03-13T16:18:00.936272,unified-search
260315,334.0,EUR,Vueling Airlines,0,105,2026-03-15T12:45:00,2026-03-15T15:30:00,CMN,MAD,2026-03-13T16:18:00.936272,unified-search
260315,494.0,EUR,Royal Air Maroc,0,105,2026-03-15T12:45:00,2026-03-15T15:30:00,CMN,MAD,2026-03-13T16:18:00.936272,unified-search
260315,358.5,EUR,Iberia,0,105,2026-03-15T15:20:00,2026-03-15T18:05:00,CMN,MAD,2026-03-13T16:18:00.936272,unified-search
260316,61.36,EUR,Iberia,0,105,2026-03-16T12:45:00,2026-03-16T15:30:00,CMN,MAD,2026-03-13T16:18:12.709902,unified-search
260316,67.21,EUR,Iberia,0,105,2026-03-16T17:55:00,2026-03-16T20:40:00,CMN,MAD,2026-03-13T16:18:12.709902,unified-search
260316,62.0,EUR,Vueling Airlines,0,105,2026-03-16T12:45:00,2026-03-16T15:30:00,CMN,MAD,2026-03-13T16:18:12.709902,unified-search
260316,147.0,EUR,Royal Air Maroc,0,105,2026-03-16T09:15:00,2026-03-16T12:00:00,CMN,MAD,2026-03-13T16:18:12.709902,unified-search
